pose.x,pose.y,pose.z,orientation.x,orientation.y,orientation.z,orientation.w
7.082729339599609,14.952882766723633,14.952882766723633,0.00024119019508361816,-0.012315426021814346,0.9708972573280334,-0.23917947709560394
7.017066478729248,14.931843757629395,14.931843757629395,-9.298324584960938e-05,-0.0127584058791399,0.9790803790092468,-0.20307332277297974
6.950489521026611,14.914280891418457,14.914280891418457,0.00014577805995941162,-0.011228278279304504,0.9853003025054932,-0.17046184837818146
6.883206367492676,14.899115562438965,14.899115562438965,0.0008830726146697998,-0.008340435102581978,0.9895933866500854,-0.14364776015281677
6.815481662750244,14.88528823852539,14.88528823852539,0.0016573071479797363,-0.005107424221932888,0.9922809600830078,-0.12389399856328964
6.747594356536865,14.871981620788574,14.871981620788574,0.001919478178024292,-0.0024363109841942787,0.9937987923622131,-0.1111506000161171
6.679779052734375,14.858448028564453,14.858448028564453,0.0014326423406600952,-0.0006677387282252312,0.9944798946380615,-0.1049157977104187
6.612130165100098,14.844380378723145,14.844380378723145,0.0003966391086578369,0.0002946837339550257,0.9946402311325073,-0.10339568555355072
6.5445027351379395,14.830248832702637,14.830248832702637,-0.0006405562162399292,0.0005191061645746231,0.9946699142456055,-0.10310725122690201
6.476835250854492,14.816107749938965,14.816107749938965,-0.0011716634035110474,0.00025898520834743977,0.9946768283843994,-0.10303674638271332
6.408958435058594,14.802947998046875,14.802947998046875,-0.0010183900594711304,-0.0005395866464823484,0.9949808120727539,-0.10005927830934525
6.3408074378967285,14.791914939880371,14.791914939880371,-0.0004114508628845215,-0.0019979975186288357,0.9957787394523621,-0.0917641818523407
6.272586345672607,14.781332969665527,14.781332969665527,0.00038510560989379883,-0.003032828215509653,0.9963862895965576,-0.08488186448812485
6.204484939575195,14.770071029663086,14.770071029663086,0.0009257197380065918,-0.0025868017692118883,0.996564507484436,-0.0827745571732521
6.136448383331299,14.758657455444336,14.758657455444336,0.0009250044822692871,-0.0009086646605283022,0.9965929985046387,-0.08246614038944244
6.068440914154053,14.747321128845215,14.747321128845215,0.00046128034591674805,0.0008497219532728195,0.9965937733650208,-0.082460917532444
6.00044059753418,14.736063003540039,14.736063003540039,-0.00014609098434448242,0.0015956396237015724,0.9965946078300476,-0.08244184404611588
5.932429790496826,14.724821090698242,14.724821090698242,-0.0005644112825393677,0.0011080633848905563,0.9966000914573669,-0.08238180726766586
5.864396572113037,14.713541030883789,14.713541030883789,-0.0006214678287506104,1.4085322618484497e-05,0.9966054558753967,-0.08232234418392181
5.796342849731445,14.702202796936035,14.702202796936035,-0.0003582984209060669,-0.0008209412917494774,0.99660724401474,-0.08230022341012955
5.728276252746582,14.69083023071289,14.69083023071289,3.49581241607666e-05,-0.00091533362865448,0.9966055750846863,-0.08232010155916214
5.660212993621826,14.679465293884277,14.679465293884277,0.0003409832715988159,-0.00038924836553633213,0.9966026544570923,-0.08235826343297958
5.5921630859375,14.668130874633789,14.668130874633789,0.00042575597763061523,0.00026274449191987514,0.9966003894805908,-0.08238492161035538
5.52421236038208,14.656427383422852,14.656427383422852,0.0002629309892654419,0.0007505882531404495,0.996500551700592,-0.0835825726389885
5.456727981567383,14.642946243286133,14.642946243286133,-0.00018315017223358154,0.001494074473157525,0.995965301990509,-0.08972637355327606
5.389964580535889,14.627108573913574,14.627108573913574,-0.0008292943239212036,0.002774988068267703,0.9948933720588684,-0.10089004039764404
5.323194980621338,14.611135482788086,14.611135482788086,-0.0010814517736434937,0.003428712720051408,0.9940868020057678,-0.10852902382612228
5.2562103271484375,14.595918655395508,14.595918655395508,-0.0007877051830291748,0.00254721543751657,0.9938545227050781,-0.11066176742315292
5.189177989959717,14.580824851989746,14.580824851989746,-0.00015625357627868652,0.0006030225194990635,0.9938235878944397,-0.11096920073032379
5.122165679931641,14.56564998626709,14.56564998626709,0.0004331320524215698,-0.001139019150286913,0.9938213229179382,-0.11098454892635345
5.055187702178955,14.550411224365234,14.550411224365234,0.0006713718175888062,-0.0016729782801121473,0.9938167333602905,-0.1110188364982605
4.988234996795654,14.535172462463379,14.535172462463379,0.0004976242780685425,-0.0009725401178002357,0.9938099384307861,-0.1110883504152298
4.921288013458252,14.51998233795166,14.51998233795166,8.799135684967041e-05,0.00018823356367647648,0.9938041567802429,-0.11114580929279327
4.854330539703369,14.504846572875977,14.504846572875977,-0.0002889782190322876,0.0009321426041424274,0.9938022494316101,-0.11115813255310059
4.787346839904785,14.48973274230957,14.48973274230957,-0.0004313141107559204,0.0008773342706263065,0.9938055276870728,-0.11112911999225616
4.720170021057129,14.47456169128418,14.47456169128418,-0.00017699599266052246,0.00027253455482423306,0.9938104152679443,-0.1110888198018074
4.652517318725586,14.459248542785645,14.459248542785645,0.0005013197660446167,-0.000322478823363781,0.9938126802444458,-0.11106772720813751
4.58411979675293,14.44373893737793,14.44373893737793,0.001412123441696167,-0.0004882039502263069,0.9938105344772339,-0.11107713729143143
4.514704704284668,14.42799186706543,14.42799186706543,0.0022919178009033203,-0.00018628686666488647,0.9938058257102966,-0.1111070066690445
4.443993091583252,14.411965370178223,14.411965370178223,0.0029396116733551025,0.0003065424971282482,0.993800699710846,-0.11113674193620682
4.371708869934082,14.395602226257324,14.395602226257324,0.0032950788736343384,0.0006516831927001476,0.993797779083252,-0.11115221679210663
4.297570705413818,14.378828048706055,14.378828048706055,0.0034488141536712646,0.0006852897349745035,0.9937970042228699,-0.11115330457687378
4.221301555633545,14.361567497253418,14.361567497253418,0.00356447696685791,0.00048321858048439026,0.9937970042228699,-0.11115069687366486
4.142711162567139,14.343767166137695,14.343767166137695,0.0037294626235961914,0.0002511870115995407,0.9937959313392639,-0.11115562915802002
4.061926364898682,14.325456619262695,14.325456619262695,0.003749370574951172,0.00014356966130435467,0.9937942624092102,-0.11117085069417953
3.9792356491088867,14.306709289550781,14.306709289550781,0.003408655524253845,0.0001768202055245638,0.9937930107116699,-0.11119240522384644
3.8949403762817383,14.287601470947266,14.287601470947266,0.002691492438316345,0.0002626983914524317,0.9937930703163147,-0.11121144145727158
3.809288740158081,14.268192291259766,14.268192291259766,0.0018107891082763672,0.00029645906761288643,0.993793785572052,-0.11122250556945801
3.722545623779297,14.248538970947266,14.248538970947266,0.0010143518447875977,0.0002322155050933361,0.9937946200370789,-0.11122508347034454
